make_slug,style_name,occurrences
gmc,K-1500 WIDESIDE P.U. CLUB COUPE 4X4,3
gmc,K-1500 WIDESIDE P.U. CLUB CPE LG BOX 4X4,1
gmc,K-1500 WIDESIDE P.U. CLUB CPE SHT BX 4X4,1
gmc,K-1500 WIDESIDE P.U. LONG WB.REG.CAB 4X4,3
gmc,K-1500 WIDESIDE P.U. REG CAB LG BOX 4X4,1
gmc,K-1500 WIDESIDE P.U. REG CAB SHT BOX 4X4,1
gmc,K-1500 WIDESIDE PU. SHORT WB.REG.CAB 4X4,3
gmc,K-2500,1
gmc,K-2500 WIDESIDE P.U. CLUB COUPE 4X4,3
gmc,K-2500 WIDESIDE P.U. CLUB CPE LG BOX 4X4,1
gmc,K-2500 WIDESIDE P.U. CLUB CPE SHT BX 4X4,1
gmc,K-2500 WIDESIDE P.U. LONG WB.REG.CAB 4X4,3
gmc,K-2500 WIDESIDE P.U. REG CAB LG BOX 4X4,1
gmc,K-3500 WIDESIDE P.U. CLUB COUPE 4X4,3
gmc,K-3500 WIDESIDE P.U. CLUB CPE LG BOX 4X4,1
gmc,K-3500 WIDESIDE P.U. LONG WB.REG.CAB 4X4,3
gmc,K-3500 WIDESIDE P.U. REG CAB LG BOX 4X4,1
gmc,K1500 SPORTSIDE P.U. CLUB COUPE 4X4,2
gmc,K1500 SPORTSIDE P.U. REGULAR CAB 4X4,2
gmc,K1500 WIDESIDE P.U. CLUB CPE LG BOX 4X4,2
gmc,K1500 WIDESIDE P.U. CLUB CPE SHT BX 4X4,2
gmc,K1500 WIDESIDE P.U. REG CAB LG BOX 4X4,2
gmc,K1500 WIDESIDE P.U. REG CAB SHT BOX 4X4,2
gmc,K2500 WIDESIDE P.U. CLUB CPE LG BOX 4X4,2
gmc,K2500 WIDESIDE P.U. CLUB CPE SHT BX 4X4,2
